title,genres,clean_title
Radioland Murders (1994),Comedy Mystery Romance,Radioland Murders
"Ref, The (1994)",Comedy,"Ref, The"
"Remains of the Day, The (1993)",Drama Romance,"Remains of the Day, The"
Renaissance Man (1994),Comedy Drama,Renaissance Man
Rising Sun (1993),Action Drama Mystery,Rising Sun
"Road to Wellville, The (1994)",Comedy,"Road to Wellville, The"
RoboCop 3 (1993),Action Crime Drama Sci-Fi Thriller,RoboCop 3
Robin Hood: Men in Tights (1993),Comedy,Robin Hood: Men in Tights
Romeo Is Bleeding (1993),Crime Thriller,Romeo Is Bleeding
Romper Stomper (1992),Action Drama,Romper Stomper
Ruby in Paradise (1993),Drama,Ruby in Paradise
Rudy (1993),Drama,Rudy
"Savage Nights (Nuits fauves, Les) (1992)",Drama,"Savage Nights (Nuits fauves, Les)"
Schindler's List (1993),Drama War,Schindler's List
"Scout, The (1994)",Comedy Drama,"Scout, The"
Searching for Bobby Fischer (1993),Drama,Searching for Bobby Fischer
"Secret Garden, The (1993)",Children Drama,"Secret Garden, The"
Serial Mom (1994),Comedy Crime Horror,Serial Mom
"Shadow, The (1994)",Action Adventure Fantasy Mystery,"Shadow, The"
Shadowlands (1993),Drama Romance,Shadowlands
Short Cuts (1993),Drama,Short Cuts
"Simple Twist of Fate, A (1994)",Drama,"Simple Twist of Fate, A"
Sirens (1994),Drama,Sirens
Six Degrees of Separation (1993),Drama,Six Degrees of Separation
Sleepless in Seattle (1993),Comedy Drama Romance,Sleepless in Seattle
Sliver (1993),Thriller,Sliver
Blade Runner (1982),Action Sci-Fi Thriller,Blade Runner
Son in Law (1993),Comedy Drama Romance,Son in Law
So I Married an Axe Murderer (1993),Comedy Romance Thriller,So I Married an Axe Murderer
Striking Distance (1993),Action Crime,Striking Distance
Super Mario Bros. (1993),Action Adventure Children Comedy Fantasy Sci-Fi,Super Mario Bros.
Surviving the Game (1994),Action Adventure Thriller,Surviving the Game
Terminal Velocity (1994),Action Mystery Thriller,Terminal Velocity
Thirty-Two Short Films About Glenn Gould (1993),Drama Musical,Thirty-Two Short Films About Glenn Gould
Threesome (1994),Comedy Romance,Threesome
"Nightmare Before Christmas, The (1993)",Animation Children Fantasy Musical,"Nightmare Before Christmas, The"
"Three Musketeers, The (1993)",Action Adventure Comedy Romance,"Three Musketeers, The"
Tombstone (1993),Action Drama Western,Tombstone
True Romance (1993),Crime Thriller,True Romance
"War Room, The (1993)",Documentary,"War Room, The"
"Pagemaster, The (1994)",Action Adventure Animation Children Fantasy,"Pagemaster, The"
Welcome to the Dollhouse (1995),Comedy Drama,Welcome to the Dollhouse
Germinal (1993),Drama Romance,Germinal
Chasers (1994),Comedy,Chasers
Kika (1993),Comedy Drama,Kika
Bhaji on the Beach (1993),Comedy Drama,Bhaji on the Beach
Little Big League (1994),Comedy Drama,Little Big League
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,"Ciao, Professore! (Io speriamo che me la cavo)"
Spanking the Monkey (1994),Comedy Drama,Spanking the Monkey
"Little Rascals, The (1994)",Children Comedy,"Little Rascals, The"
Andre (1994),Adventure Children Drama,Andre
"Escort, The (Scorta, La) (1993)",Crime Thriller,"Escort, The (Scorta, La)"
Princess Caraboo (1994),Drama,Princess Caraboo
"Celluloid Closet, The (1995)",Documentary,"Celluloid Closet, The"
Dear Diary (Caro Diario) (1994),Comedy Drama,Dear Diary (Caro Diario)
"Brady Bunch Movie, The (1995)",Comedy,"Brady Bunch Movie, The"
Home Alone (1990),Children Comedy,Home Alone
Ghost (1990),Comedy Drama Fantasy Romance Thriller,Ghost
Aladdin (1992),Adventure Animation Children Comedy Musical,Aladdin
Terminator 2: Judgment Day (1991),Action Sci-Fi,Terminator 2: Judgment Day
Dances with Wolves (1990),Adventure Drama Western,Dances with Wolves
Batman (1989),Action Crime Thriller,Batman
"Silence of the Lambs, The (1991)",Crime Horror Thriller,"Silence of the Lambs, The"
Snow White and the Seven Dwarfs (1937),Animation Children Drama Fantasy Musical,Snow White and the Seven Dwarfs
Beauty and the Beast (1991),Animation Children Fantasy Musical Romance IMAX,Beauty and the Beast
Pinocchio (1940),Animation Children Fantasy Musical,Pinocchio
Pretty Woman (1990),Comedy Romance,Pretty Woman
"Wild Bunch, The (1969)",Adventure Western,"Wild Bunch, The"
Love and a .45 (1994),Action Comedy Crime,Love and a .45
"Great Day in Harlem, A (1994)",Documentary,"Great Day in Harlem, A"
One Fine Day (1996),Drama Romance,One Fine Day
Candyman: Farewell to the Flesh (1995),Fantasy Horror,Candyman: Farewell to the Flesh
Fargo (1996),Comedy Crime Drama Thriller,Fargo
Homeward Bound II: Lost in San Francisco (1996),Adventure Children,Homeward Bound II: Lost in San Francisco
Heavy Metal (1981),Action Adventure Animation Horror Sci-Fi,Heavy Metal
Hellraiser: Bloodline (1996),Action Horror Sci-Fi,Hellraiser: Bloodline
"Pallbearer, The (1996)",Comedy,"Pallbearer, The"
Jane Eyre (1996),Drama Romance,Jane Eyre
Bread and Chocolate (Pane e cioccolata) (1973),Comedy Drama,Bread and Chocolate (Pane e cioccolata)
"Aristocats, The (1970)",Animation Children,"Aristocats, The"
"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy Drama,"Flower of My Secret, The (La flor de mi secreto)"
Two Much (1995),Comedy Romance,Two Much
Ed (1996),Comedy,Ed
"Thin Line Between Love and Hate, A (1996)",Comedy,"Thin Line Between Love and Hate, A"
"Last Supper, The (1995)",Drama Thriller,"Last Supper, The"
Primal Fear (1996),Crime Drama Mystery Thriller,Primal Fear
All Dogs Go to Heaven 2 (1996),Adventure Animation Children Fantasy Musical Romance,All Dogs Go to Heaven 2
Land and Freedom (Tierra y libertad) (1995),Drama War,Land and Freedom (Tierra y libertad)
Denise Calls Up (1995),Comedy,Denise Calls Up
Theodore Rex (1995),Comedy,Theodore Rex
"Family Thing, A (1996)",Comedy Drama,"Family Thing, A"
Frisk (1995),Drama,Frisk
Sgt. Bilko (1996),Comedy,Sgt. Bilko
Jack and Sarah (1995),Romance,Jack and Sarah
Girl 6 (1996),Comedy Drama,Girl 6
Diabolique (1996),Drama Thriller,Diabolique
Nelly & Monsieur Arnaud (1995),Drama,Nelly & Monsieur Arnaud
Courage Under Fire (1996),Action Crime Drama War,Courage Under Fire
Mission: Impossible (1996),Action Adventure Mystery Thriller,Mission: Impossible
Cold Fever (Á köldum klaka) (1995),Comedy Drama,Cold Fever (Á köldum klaka)
Moll Flanders (1996),Drama,Moll Flanders
Dragonheart (1996),Action Adventure Fantasy,Dragonheart
Eddie (1996),Comedy,Eddie
James and the Giant Peach (1996),Adventure Animation Children Fantasy Musical,James and the Giant Peach
Fear (1996),Thriller,Fear
Kids in the Hall: Brain Candy (1996),Comedy,Kids in the Hall: Brain Candy
Underground (1995),Comedy Drama War,Underground
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite)
Song of the Little Road (Pather Panchali) (1955),Drama,Song of the Little Road (Pather Panchali)
"World of Apu, The (Apur Sansar) (1959)",Drama,"World of Apu, The (Apur Sansar)"
Mystery Science Theater 3000: The Movie (1996),Comedy Sci-Fi,Mystery Science Theater 3000: The Movie
Space Jam (1996),Adventure Animation Children Comedy Fantasy Sci-Fi,Space Jam
Barbarella (1968),Adventure Comedy Sci-Fi,Barbarella
Some Folks Call It a Sling Blade (1993),Drama Thriller,Some Folks Call It a Sling Blade
"Run of the Country, The (1995)",Drama,"Run of the Country, The"
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama Mystery Romance Sci-Fi Thriller,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)"
It's My Party (1996),Drama,It's My Party
Operation Dumbo Drop (1995),Action Adventure Comedy War,Operation Dumbo Drop
Mrs. Winterbourne (1996),Comedy Romance,Mrs. Winterbourne
Solo (1996),Action Sci-Fi Thriller,Solo
"Substitute, The (1996)",Action Crime Drama,"Substitute, The"
True Crime (1996),Mystery Thriller,True Crime
Feeling Minnesota (1996),Drama Romance,Feeling Minnesota
Delta of Venus (1995),Drama,Delta of Venus
Angus (1995),Comedy,Angus
Boys (1996),Drama,Boys
"Quest, The (1996)",Action Adventure,"Quest, The"
Sunset Park (1996),Drama,Sunset Park
Mulholland Falls (1996),Crime Drama Thriller,Mulholland Falls
"Truth About Cats & Dogs, The (1996)",Comedy Romance,"Truth About Cats & Dogs, The"
Oliver & Company (1988),Adventure Animation Children Comedy Musical,Oliver & Company
Celtic Pride (1996),Comedy,Celtic Pride
Flipper (1996),Adventure Children,Flipper
Dead Man (1995),Drama Mystery Western,Dead Man
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama Romance,"Horseman on the Roof, The (Hussard sur le toit, Le)"
"Visitors, The (Visiteurs, Les) (1993)",Comedy Fantasy Sci-Fi,"Visitors, The (Visiteurs, Les)"
Multiplicity (1996),Comedy,Multiplicity
Wallace & Gromit: The Best of Aardman Animation (1996),Adventure Animation Comedy,Wallace & Gromit: The Best of Aardman Animation
"Haunted World of Edward D. Wood Jr., The (1996)",Documentary,"Haunted World of Edward D. Wood Jr., The"
"Craft, The (1996)",Drama Fantasy Horror Thriller,"Craft, The"
"Great White Hype, The (1996)",Comedy,"Great White Hype, The"
Last Dance (1996),Drama,Last Dance
Cold Comfort Farm (1995),Comedy,Cold Comfort Farm
Heaven's Prisoners (1996),Crime Thriller,Heaven's Prisoners
"Rock, The (1996)",Action Adventure Thriller,"Rock, The"
Cemetery Man (Dellamorte Dellamore) (1994),Horror,Cemetery Man (Dellamorte Dellamore)
Twister (1996),Action Adventure Romance Thriller,Twister
Barb Wire (1996),Action Sci-Fi,Barb Wire
Ghost in the Shell (Kôkaku kidôtai) (1995),Animation Sci-Fi,Ghost in the Shell (Kôkaku kidôtai)
Thinner (1996),Horror Thriller,Thinner
Spy Hard (1996),Comedy,Spy Hard
Wallace & Gromit: A Close Shave (1995),Animation Children Comedy,Wallace & Gromit: A Close Shave
"Stupids, The (1996)",Comedy,"Stupids, The"
"Arrival, The (1996)",Action Sci-Fi Thriller,"Arrival, The"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy War,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Ashes of Time (Dung che sai duk) (1994),Drama,Ashes of Time (Dung che sai duk)
Maya Lin: A Strong Clear Vision (1994),Documentary,Maya Lin: A Strong Clear Vision
Stalingrad (1993),Drama War,Stalingrad
"Phantom, The (1996)",Action Adventure,"Phantom, The"
Striptease (1996),Comedy Crime,Striptease
Heavy (1995),Drama Romance,Heavy
Jack (1996),Comedy Drama,Jack
I Shot Andy Warhol (1996),Drama,I Shot Andy Warhol
Touki Bouki (1973),Drama,Touki Bouki
Spirits of the Dead (1968),Horror Mystery,Spirits of the Dead
Trainspotting (1996),Comedy Crime Drama,Trainspotting
'Til There Was You (1997),Drama Romance,'Til There Was You
Independence Day (a.k.a. ID4) (1996),Action Adventure Sci-Fi Thriller,Independence Day (a.k.a. ID4)
Stealing Beauty (1996),Drama,Stealing Beauty
"Fan, The (1996)",Drama Thriller,"Fan, The"
"Hunchback of Notre Dame, The (1996)",Animation Children Drama Musical Romance,"Hunchback of Notre Dame, The"
"Cable Guy, The (1996)",Comedy Thriller,"Cable Guy, The"
Kingpin (1996),Comedy,Kingpin
Eraser (1996),Action Drama Thriller,Eraser
"Nutty Professor, The (1996)",Comedy Fantasy Romance Sci-Fi,"Nutty Professor, The"
"Unforgettable Summer, An (Un été inoubliable) (1994)",Drama,"Unforgettable Summer, An (Un été inoubliable)"
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",Documentary,"Last Klezmer: Leopold Kozlowski, His Life and Music, The"
Somebody to Love (1994),Drama,Somebody to Love
Daylight (1996),Action Adventure Drama Thriller,Daylight
"Frighteners, The (1996)",Comedy Horror Thriller,"Frighteners, The"
Lone Star (1996),Drama Mystery Western,Lone Star
Harriet the Spy (1996),Children Comedy,Harriet the Spy
Phenomenon (1996),Drama Romance,Phenomenon
Walking and Talking (1996),Comedy Drama Romance,Walking and Talking
She's the One (1996),Comedy Romance,She's the One
"Time to Kill, A (1996)",Drama Thriller,"Time to Kill, A"
American Buffalo (1996),Crime Drama,American Buffalo
Alaska (1996),Adventure Children,Alaska
Fled (1996),Action Adventure,Fled
Kazaam (1996),Children Comedy Fantasy,Kazaam
Larger Than Life (1996),Comedy,Larger Than Life
"Very Brady Sequel, A (1996)",Comedy,"Very Brady Sequel, A"
"Collector, The (La collectionneuse) (1967)",Drama,"Collector, The (La collectionneuse)"
Kaspar Hauser (1993),Drama Mystery,Kaspar Hauser
"Adventures of Pinocchio, The (1996)",Adventure Children,"Adventures of Pinocchio, The"
Joe's Apartment (1996),Comedy Fantasy Musical,Joe's Apartment
"First Wives Club, The (1996)",Comedy,"First Wives Club, The"
Ransom (1996),Crime Thriller,Ransom
High School High (1996),Comedy,High School High
Foxfire (1996),Drama,Foxfire
Chain Reaction (1996),Action Adventure Thriller,Chain Reaction
Matilda (1996),Children Comedy Fantasy,Matilda
Emma (1996),Comedy Drama Romance,Emma
"Crow: City of Angels, The (1996)",Action Thriller,"Crow: City of Angels, The"
House Arrest (1996),Children Comedy,House Arrest
"Eyes Without a Face (Yeux sans visage, Les) (1959)",Horror,"Eyes Without a Face (Yeux sans visage, Les)"
Tales from the Crypt Presents: Bordello of Blood (1996),Comedy Horror,Tales from the Crypt Presents: Bordello of Blood
"Spitfire Grill, The (1996)",Drama,"Spitfire Grill, The"
Escape from L.A. (1996),Action Adventure Sci-Fi Thriller,Escape from L.A.
Basquiat (1996),Drama,Basquiat
Tin Cup (1996),Comedy Drama Romance,Tin Cup
"Godfather, The (1972)",Crime Drama,"Godfather, The"
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action Comedy Crime Thriller,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha)
Bound (1996),Crime Drama Romance Thriller,Bound
Carpool (1996),Comedy Crime,Carpool
Kansas City (1996),Crime Drama Musical Thriller,Kansas City
Gone Fishin' (1997),Comedy,Gone Fishin'
Nothing to Lose (1994),Action Crime Drama,Nothing to Lose
Supercop 2 (Project S) (Chao ji ji hua) (1993),Action Comedy Crime Thriller,Supercop 2 (Project S) (Chao ji ji hua)
"Relic, The (1997)",Horror Thriller,"Relic, The"
"Island of Dr. Moreau, The (1996)",Sci-Fi Thriller,"Island of Dr. Moreau, The"
First Kid (1996),Children Comedy,First Kid
"Trigger Effect, The (1996)",Drama Thriller,"Trigger Effect, The"
Bogus (1996),Children Drama Fantasy,Bogus
Bulletproof (1996),Action Comedy Crime,Bulletproof
Land Before Time III: The Time of the Great Giving (1995),Adventure Animation Children Musical,Land Before Time III: The Time of the Great Giving
1-900 (06) (1994),Drama Romance,1-900 (06)
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Horror Thriller,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers)
Twelfth Night (1996),Comedy Drama Romance,Twelfth Night
Mother Night (1996),Drama,Mother Night
Wild Reeds (Les roseaux sauvages) (1994),Drama,Wild Reeds (Les roseaux sauvages)
For Whom the Bell Tolls (1943),Adventure Drama Romance War,For Whom the Bell Tolls
"Philadelphia Story, The (1940)",Comedy Drama Romance,"Philadelphia Story, The"
Singin' in the Rain (1952),Comedy Musical Romance,Singin' in the Rain
"American in Paris, An (1951)",Musical Romance,"American in Paris, An"
Funny Face (1957),Comedy Musical,Funny Face
Breakfast at Tiffany's (1961),Drama Romance,Breakfast at Tiffany's
Vertigo (1958),Drama Mystery Romance Thriller,Vertigo
Rear Window (1954),Mystery Thriller,Rear Window
It Happened One Night (1934),Comedy Romance,It Happened One Night
Gaslight (1944),Drama Thriller,Gaslight
"Gay Divorcee, The (1934)",Comedy Musical Romance,"Gay Divorcee, The"
North by Northwest (1959),Action Adventure Mystery Romance Thriller,North by Northwest
"Apartment, The (1960)",Comedy Drama Romance,"Apartment, The"
Some Like It Hot (1959),Comedy Crime,Some Like It Hot
Charade (1963),Comedy Crime Mystery Romance Thriller,Charade
Casablanca (1942),Drama Romance,Casablanca
"Maltese Falcon, The (1941)",Film-Noir Mystery,"Maltese Falcon, The"
My Fair Lady (1964),Comedy Drama Musical Romance,My Fair Lady
Sabrina (1954),Comedy Romance,Sabrina
Roman Holiday (1953),Comedy Drama Romance,Roman Holiday
"Little Princess, The (1939)",Children Drama,"Little Princess, The"
Meet Me in St. Louis (1944),Musical,Meet Me in St. Louis
"Wizard of Oz, The (1939)",Adventure Children Fantasy Musical,"Wizard of Oz, The"
Gone with the Wind (1939),Drama Romance War,Gone with the Wind
My Favorite Year (1982),Comedy,My Favorite Year
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama Film-Noir Romance,Sunset Blvd. (a.k.a. Sunset Boulevard)
Citizen Kane (1941),Drama Mystery,Citizen Kane
2001: A Space Odyssey (1968),Adventure Drama Sci-Fi,2001: A Space Odyssey
All About Eve (1950),Drama,All About Eve
"Women, The (1939)",Comedy,"Women, The"
Rebecca (1940),Drama Mystery Romance Thriller,Rebecca
Foreign Correspondent (1940),Drama Film-Noir Mystery Thriller,Foreign Correspondent
Notorious (1946),Film-Noir Romance Thriller,Notorious
Spellbound (1945),Mystery Romance Thriller,Spellbound
"Affair to Remember, An (1957)",Drama Romance,"Affair to Remember, An"
To Catch a Thief (1955),Crime Mystery Romance Thriller,To Catch a Thief
Father of the Bride (1950),Comedy,Father of the Bride
"Band Wagon, The (1953)",Comedy Musical,"Band Wagon, The"
Ninotchka (1939),Comedy Romance,Ninotchka
Love in the Afternoon (1957),Comedy Romance,Love in the Afternoon
Gigi (1958),Musical,Gigi
"Adventures of Robin Hood, The (1938)",Action Adventure Romance,"Adventures of Robin Hood, The"
"Mark of Zorro, The (1940)",Adventure,"Mark of Zorro, The"
Laura (1944),Crime Film-Noir Mystery,Laura
"Ghost and Mrs. Muir, The (1947)",Drama Fantasy Romance,"Ghost and Mrs. Muir, The"
Lost Horizon (1937),Drama,Lost Horizon
Top Hat (1935),Comedy Musical Romance,Top Hat
To Be or Not to Be (1942),Comedy Drama War,To Be or Not to Be
My Man Godfrey (1936),Comedy Romance,My Man Godfrey
Giant (1956),Drama Romance Western,Giant
East of Eden (1955),Drama,East of Eden
"Thin Man, The (1934)",Comedy Crime,"Thin Man, The"
His Girl Friday (1940),Comedy Romance,His Girl Friday
Around the World in 80 Days (1956),Adventure Comedy,Around the World in 80 Days
It's a Wonderful Life (1946),Children Drama Fantasy Romance,It's a Wonderful Life
Mr. Smith Goes to Washington (1939),Drama,Mr. Smith Goes to Washington
Bringing Up Baby (1938),Comedy Romance,Bringing Up Baby
Penny Serenade (1941),Drama Romance,Penny Serenade
